"id","Protein","Pathway","Metabolism"
"K02284","Phycocyanin alpha chain","Photosynthesis - antenna proteins","Energy metabolism"
"K02285","Phycocyanin beta chain","Photosynthesis - antenna proteins","Energy metabolism"
"K02286","Phycocyanin-associated rod linker protein","Photosynthesis - antenna proteins","Energy metabolism"
"K02287","Phycocyanin-associated, rod","Photosynthesis - antenna proteins","Energy metabolism"
"K02288","Phycocyanobilin lyase subunit alpha","Photosynthesis - antenna proteins","Energy metabolism"
"K02289","Phycocyanobilin lyase subunit beta","Photosynthesis - antenna proteins","Energy metabolism"
"K02290","Phycobilisome rod-core linker protein","Photosynthesis - antenna proteins","Energy metabolism"
"K02291","15-cis-phytoene synthase","Carotenoid biosynthesis","Metabolism of terpenoids and polyketides"
"K02293","15-cis-phytoene desaturase","Carotenoid biosynthesis","Metabolism of terpenoids and polyketides"
"K02294","Beta-carotene hydroxylase","Carotenoid biosynthesis","Metabolism of terpenoids and polyketides"
"K02297","Cytochrome o ubiquinol oxidase subunit II","Oxidative phosphorylation","Energy metabolism"
"K02298","Cytochrome o ubiquinol oxidase subunit I","Oxidative phosphorylation","Energy metabolism"
"K02299","Cytochrome o ubiquinol oxidase subunit III","Oxidative phosphorylation","Energy metabolism"
"K02300","Cytochrome o ubiquinol oxidase subunit IV","Oxidative phosphorylation","Energy metabolism"
"K02302","Uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02303","Uroporphyrin-III C-methyltransferase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02304","Precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02305","Nitric oxide reductase subunit C","Nitrogen metabolism","Energy metabolism"
"K02361","Isochorismate synthase","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins"
"K02371","Enoyl-[acyl-carrier protein] reductase II","Fatty acid biosynthesis","Lipid metabolism"
"K02372","3-hydroxyacyl-[acyl-carrier-protein] dehydratase","Fatty acid biosynthesis","Lipid metabolism"
"K02377","GDP-L-fucose synthase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02433","Aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A","Aminoacyl-tRNA biosynthesis","Translation"
"K02434","Aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B","Aminoacyl-tRNA biosynthesis","Translation"
"K02435","Aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C","Aminoacyl-tRNA biosynthesis","Translation"
"K02437","Glycine cleavage system H protein","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K02438","Glycogen debranching enzyme","Starch and sucrose metabolism","Carbohydrate metabolism"
"K02439","Thiosulfate sulfurtransferase","Sulfur metabolism","Energy metabolism"
"K02446","Fructose-1,6-bisphosphatase II","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K02472","UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K02473","UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K02474","UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K02492","Glutamyl-tRNA reductase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02495","Oxygen-independent coproporphyrinogen III oxidase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02496","Uroporphyrin-III C-methyltransferase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02500","Imidazole glycerol-phosphate synthase subunit HisF","Histidine metabolism","Amino acid metabolism"
"K02501","Imidazole glycerol-phosphate synthase subunit HisH","Histidine metabolism","Amino acid metabolism"
"K02502","ATP phosphoribosyltransferase regulatory subunit","Histidine metabolism","Amino acid metabolism"
"K02509","2-oxo-hept-3-ene-1,7-dioate hydratase","Tyrosine metabolism","Amino acid metabolism"
"K02510","4-hydroxy-2-oxoheptanedioate aldolase","Tyrosine metabolism","Amino acid metabolism"
"K02517","Kdo2-lipid IVA lauroyltransferase/acyltransferase","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K02527","3-deoxy-D-manno-octulosonic-acid transferase","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K02535","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K02536","UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K02545","Penicillin-binding protein 2 prime","Peptidoglycan biosynthesis","Glycan biosynthesis and metabolism"
"K02548","1,4-dihydroxy-2-naphthoate polyprenyltransferase","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins"
"K02549","O-succinylbenzoate synthase","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins"
"K02551","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins"
"K02552","Menaquinone-specific isochorismate synthase","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins"
"K02554","2-keto-4-pentenoate hydratase","Phenylalanine metabolism","Amino acid metabolism"
"K02560","Lauroyl-Kdo2-lipid IVA myristoyltransferase","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K02563","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","Peptidoglycan biosynthesis","Glycan biosynthesis and metabolism"
"K02564","Glucosamine-6-phosphate deaminase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K02567","Nitrate reductase (cytochrome)","Nitrogen metabolism","Energy metabolism"
"K02568","Nitrate reductase (cytochrome), electron transfer subunit","Nitrogen metabolism","Energy metabolism"
"K02586","Nitrogenase molybdenum-iron protein alpha chain","Nitrogen metabolism","Energy metabolism"
"K02588","Nitrogenase iron protein NifH","Nitrogen metabolism","Energy metabolism"
"K02591","Nitrogenase molybdenum-iron protein beta chain","Nitrogen metabolism","Energy metabolism"
"K02609","Ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA","Phenylalanine metabolism","Amino acid metabolism"
"K02610","Ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB","Phenylalanine metabolism","Amino acid metabolism"
"K02611","Ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC","Phenylalanine metabolism","Amino acid metabolism"
"K02612","Ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD","Phenylalanine metabolism","Amino acid metabolism"
"K02613","Ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE","Phenylalanine metabolism","Amino acid metabolism"
"K02614","Acyl-CoA thioesterase","Phenylalanine metabolism","Amino acid metabolism"
"K02615","3-oxo-5,6-didehydrosuberyl-CoA/3-oxoadipyl-CoA thiolase","Phenylalanine metabolism","Amino acid metabolism"
"K02618","Oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase","Phenylalanine metabolism","Amino acid metabolism"
"K02626","Arginine decarboxylase","Arginine and proline metabolism","Amino acid metabolism"
"K02628","Phycoerythrocyanin alpha chain","Photosynthesis - antenna proteins","Energy metabolism"
"K02629","Phycoerythrocyanin beta chain","Photosynthesis - antenna proteins","Energy metabolism"
"K02630","Phycoerythrocyanin-associated rod linker protein","Photosynthesis - antenna proteins","Energy metabolism"
"K02631","Phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE","Photosynthesis - antenna proteins","Energy metabolism"
"K02632","Phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecF","Photosynthesis - antenna proteins","Energy metabolism"
"K02634","Apocytochrome f","Photosynthesis","Energy metabolism"
"K02635","Cytochrome b6","Photosynthesis","Energy metabolism"
"K02636","Cytochrome b6-f complex iron-sulfur subunit","Photosynthesis","Energy metabolism"
"K02637","Cytochrome b6-f complex subunit 4","Photosynthesis","Energy metabolism"
"K02640","Cytochrome b6-f complex subunit 5","Photosynthesis","Energy metabolism"
"K02641","Ferredoxin--NADP+ reductase","Photosynthesis","Energy metabolism"
"K02642","Cytochrome b6-f complex subunit 6","Photosynthesis","Energy metabolism"
"K02643","Cytochrome b6-f complex subunit 7","Photosynthesis","Energy metabolism"
"K02689","Photosystem I P700 chlorophyll a apoprotein A1","Photosynthesis","Energy metabolism"
"K02690","Photosystem I P700 chlorophyll a apoprotein A2","Photosynthesis","Energy metabolism"
"K02691","Photosystem I subunit VII","Photosynthesis","Energy metabolism"
"K02692","Photosystem I subunit II","Photosynthesis","Energy metabolism"
"K02693","Photosystem I subunit IV","Photosynthesis","Energy metabolism"
"K02694","Photosystem I subunit III","Photosynthesis","Energy metabolism"
"K02703","Photosystem II P680 reaction center D1 protein","Photosynthesis","Energy metabolism"
"K02704","Photosystem II CP47 chlorophyll apoprotein","Photosynthesis","Energy metabolism"
"K02705","Photosystem II CP43 chlorophyll apoprotein","Photosynthesis","Energy metabolism"
"K02706","Photosystem II P680 reaction center D2 protein","Photosynthesis","Energy metabolism"
"K02707","Photosystem II cytochrome b559 subunit alpha","Photosynthesis","Energy metabolism"
"K02708","Photosystem II cytochrome b559 subunit beta","Photosynthesis","Energy metabolism"
"K02744","N-acetylgalactosamine PTS system EIIA component","Galactose metabolism","Carbohydrate metabolism"
"K02745","N-acetylgalactosamine PTS system EIIB component","Galactose metabolism","Carbohydrate metabolism"
"K02746","N-acetylgalactosamine PTS system EIIC component","Galactose metabolism","Carbohydrate metabolism"
"K02747","N-acetylgalactosamine PTS system EIID component","Galactose metabolism","Carbohydrate metabolism"
"K02768","Fructose PTS system EIIA component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02769","Fructose PTS system EIIB component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02770","Fructose PTS system EIIBC or EIIC component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02773","Galactitol PTS system EIIA component","Galactose metabolism","Carbohydrate metabolism"
"K02774","Galactitol PTS system EIIB component","Galactose metabolism","Carbohydrate metabolism"
"K02775","Galactitol PTS system EIIC component","Galactose metabolism","Carbohydrate metabolism"
"K02777","Sugar PTS system EIIA component","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K02778","Glucose PTS system EIIB component","Transporters","Protein families: signaling and cellular processes"
"K02779","Glucose PTS system EIICB or EIICBA component","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K02781","Glucitol/sorbitol PTS system EIIA component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02782","Glucitol/sorbitol PTS system EIIB component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02783","Glucitol/sorbitol PTS system EIIC component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02786","Lactose PTS system EIIA component","Galactose metabolism","Carbohydrate metabolism"
"K02787","NA","NA","NA"
"K02788","Lactose PTS system EIICB component","Galactose metabolism","Carbohydrate metabolism"
"K02790","NA","NA","NA"
"K02791","Maltose/glucose PTS system EIICB component","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K02793","Mannose PTS system EIIA component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02794","Mannose PTS system EIIAB component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02795","Mannose PTS system EIIC component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02796","Mannose PTS system EIID component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02798","Mannitol PTS system EIIA component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02799","NA","NA","NA"
"K02800","Mannitol PTS system EIICBA or EIICB component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02812","Sorbose PTS system EIIA component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02813","Sorbose PTS system EIIB component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02814","Sorbose PTS system EIIC component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02815","Sorbose PTS system EIID component","Fructose and mannose metabolism","Carbohydrate metabolism"
"K02821","Ascorbate PTS system EIIA or EIIAB component","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K02822","Ascorbate PTS system EIIB component","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K02826","Cytochrome aa3-600 menaquinol oxidase subunit II","Oxidative phosphorylation","Energy metabolism"
"K02827","Cytochrome aa3-600 menaquinol oxidase subunit I","Oxidative phosphorylation","Energy metabolism"
"K02828","Cytochrome aa3-600 menaquinol oxidase subunit III","Oxidative phosphorylation","Energy metabolism"
"K02829","Cytochrome aa3-600 menaquinol oxidase subunit IV","Oxidative phosphorylation","Energy metabolism"
"K02840","UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K02841","Heptosyltransferase I","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K02843","Heptosyltransferase II","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K02844","UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K02847","O-antigen ligase","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K02848","Heptose I phosphotransferase","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K02849","Heptosyltransferase III","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K02850","Heptose II phosphotransferase","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K02851","UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase","O-Antigen repeat unit biosynthesis","Glycan biosynthesis and metabolism"
"K02858","3,4-dihydroxy 2-butanone 4-phosphate synthase","Riboflavin metabolism","Metabolism of cofactors and vitamins"
"K03077","L-ribulose-5-phosphate 4-epimerase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K03078","3-dehydro-L-gulonate-6-phosphate decarboxylase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K03079","L-ribulose-5-phosphate 3-epimerase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K03147","Phosphomethylpyrimidine synthase","Thiamine metabolism","Metabolism of cofactors and vitamins"
"K03148","Sulfur carrier protein ThiS adenylyltransferase","Thiamine metabolism","Metabolism of cofactors and vitamins"
"K03149","Thiazole synthase","Thiamine metabolism","Metabolism of cofactors and vitamins"
"K03150","2-iminoacetate synthase","Thiamine metabolism","Metabolism of cofactors and vitamins"
"K03151","TRNA uracil 4-sulfurtransferase","Thiamine metabolism","Metabolism of cofactors and vitamins"
